equipment_id,equipment_type,operation_hours,temperature_celsius,vibration_mm_s,pressure_bar,current_amp,load_percentage,maintenance_days_since_last,failure_history_count,environment_dust_level,shift,failure_next_7_days
EQ-HAUL-TRUCK-022,haul_truck,1452.6,93.44,2.61,193.11,477.47,90.06,77,2,medium,day,1
EQ-DRILL-RIG-093,drill_rig,3757.0,89.58,5.8,254.56,361.63,73.59,58,1,high,night,0
EQ-CONVEYOR-BELT-071,conveyor_belt,7626.8,73.86,0.2,111.79,140.97,39.88,17,3,high,night,0
EQ-EXCAVATOR-070,excavator,5871.8,76.99,4.02,233.95,394.85,78.94,41,1,medium,day,0
EQ-DRILL-RIG-060,drill_rig,3479.4,73.35,6.45,242.43,288.58,79.66,16,1,low,day,0
EQ-DRILL-RIG-057,drill_rig,3160.9,83.71,9.67,256.1,525.17,98.26,41,0,medium,day,0
EQ-EXCAVATOR-095,excavator,2230.8,75.31,5.91,201.38,378.39,59.88,83,0,low,night,0
EQ-CRUSHER-012,crusher,6992.0,85.34,8.13,196.38,497.53,82.69,78,0,medium,day,1
EQ-HAUL-TRUCK-013,haul_truck,2900.8,87.37,6.35,136.04,457.81,93.0,43,1,medium,night,1
EQ-CONVEYOR-BELT-029,conveyor_belt,6827.1,62.4,2.38,90.22,219.54,77.97,111,1,low,night,0
EQ-EXCAVATOR-129,excavator,3601.7,76.97,6.42,177.87,365.42,96.34,24,0,low,night,0
EQ-DRILL-RIG-134,drill_rig,3795.1,79.37,6.03,251.47,307.91,66.74,43,3,low,night,0
EQ-HAUL-TRUCK-003,haul_truck,3738.7,76.86,5.04,156.41,489.44,82.09,51,0,low,day,0
EQ-EXCAVATOR-007,excavator,6449.4,80.74,6.51,196.84,436.81,81.35,38,0,medium,day,0
EQ-HAUL-TRUCK-023,haul_truck,2834.4,82.97,4.67,194.67,385.13,61.86,48,1,low,day,0
EQ-HAUL-TRUCK-022,haul_truck,5654.8,89.83,4.86,130.73,468.74,82.39,9,0,high,day,0
EQ-CRUSHER-097,crusher,2889.1,97.5,4.8,167.01,527.96,84.04,45,4,high,night,0
EQ-CRUSHER-039,crusher,3894.9,85.24,9.34,194.46,441.6,90.86,37,1,medium,day,1
EQ-HAUL-TRUCK-149,haul_truck,5031.3,71.96,4.72,196.49,324.43,52.81,50,0,medium,day,0
EQ-EXCAVATOR-006,excavator,2098.7,76.56,6.71,209.49,287.52,70.74,77,1,medium,night,0
EQ-HAUL-TRUCK-062,haul_truck,8946.2,93.28,2.78,137.5,450.96,93.93,12,0,low,day,1
EQ-CRUSHER-057,crusher,5165.5,83.87,7.89,231.23,598.03,77.97,47,0,low,day,1
EQ-CONVEYOR-BELT-124,conveyor_belt,4852.8,66.59,3.6,62.85,150.33,47.1,62,1,high,night,0
EQ-CRUSHER-121,crusher,7158.2,94.62,5.96,165.55,496.77,75.63,22,0,low,day,0
EQ-DRILL-RIG-080,drill_rig,6750.9,72.91,6.61,243.2,360.16,66.53,49,0,medium,day,0
EQ-CONVEYOR-BELT-072,conveyor_belt,2004.0,52.82,4.31,90.26,113.18,68.24,34,0,medium,day,0
EQ-EXCAVATOR-084,excavator,2976.7,78.92,5.46,226.19,374.96,86.81,45,1,high,night,0
EQ-DRILL-RIG-135,drill_rig,3463.0,81.53,6.54,224.65,415.95,73.79,33,0,medium,day,0
EQ-CRUSHER-109,crusher,3828.1,88.62,8.48,180.32,553.5,80.04,68,0,high,day,1
EQ-DRILL-RIG-134,drill_rig,2157.9,77.21,5.0,233.64,337.77,90.21,107,1,medium,night,1
EQ-CONVEYOR-BELT-107,conveyor_belt,3703.3,57.76,1.93,88.07,173.33,69.69,19,1,medium,day,0
EQ-CRUSHER-007,crusher,3460.7,94.35,7.08,176.5,523.6,68.77,39,0,medium,night,0
EQ-CRUSHER-083,crusher,3008.3,91.05,10.23,214.56,466.55,72.49,64,0,high,night,1
EQ-HAUL-TRUCK-004,haul_truck,3050.7,92.14,2.26,168.53,357.97,50.55,29,3,medium,night,0
EQ-CRUSHER-111,crusher,1511.8,87.42,9.53,163.75,484.31,85.06,35,3,medium,night,1
EQ-CONVEYOR-BELT-110,conveyor_belt,5066.1,56.34,6.04,68.18,266.67,87.18,41,0,medium,day,0
EQ-BALL-MILL-135,ball_mill,5037.1,100.53,7.96,147.08,638.34,75.54,18,0,high,day,0
EQ-CRUSHER-007,crusher,1766.6,81.44,9.66,188.66,542.66,100.42,9,1,medium,day,1
EQ-CRUSHER-120,crusher,6335.9,93.91,4.23,194.16,547.11,69.14,54,2,low,night,0
EQ-CRUSHER-035,crusher,6433.2,87.75,5.99,147.79,625.95,90.85,20,3,low,day,1
EQ-CRUSHER-011,crusher,2299.3,86.27,8.22,176.19,542.88,68.65,35,2,medium,day,1
EQ-CONVEYOR-BELT-043,conveyor_belt,10226.0,57.15,3.27,107.37,201.17,73.38,32,0,low,night,0
EQ-HAUL-TRUCK-105,haul_truck,2056.6,65.7,3.43,141.68,395.67,74.3,39,1,low,night,0
EQ-CRUSHER-097,crusher,4639.5,76.15,9.0,203.24,491.68,81.07,69,0,low,day,0
EQ-CONVEYOR-BELT-065,conveyor_belt,1539.8,57.5,3.01,99.53,195.65,69.86,20,1,medium,day,0
EQ-CONVEYOR-BELT-043,conveyor_belt,9159.0,62.9,4.25,97.79,78.8,35.0,14,1,high,day,0
EQ-CRUSHER-118,crusher,4154.4,85.17,4.71,164.43,499.72,81.29,49,2,low,day,1
EQ-EXCAVATOR-076,excavator,3371.7,79.51,6.91,240.9,485.59,86.46,5,1,medium,day,0
EQ-HAUL-TRUCK-135,haul_truck,4927.5,89.82,2.82,167.93,435.03,78.97,7,1,low,night,0
EQ-DRILL-RIG-052,drill_rig,5699.7,83.53,6.62,202.81,275.44,71.31,20,0,low,night,0
EQ-HAUL-TRUCK-134,haul_truck,4197.3,83.36,3.13,160.3,499.51,69.13,6,3,medium,night,0
EQ-CRUSHER-112,crusher,3700.4,81.25,9.04,190.17,541.3,79.53,58,0,low,day,0
EQ-EXCAVATOR-035,excavator,3258.2,72.12,6.95,207.49,494.37,70.79,18,2,medium,day,1
EQ-DRILL-RIG-100,drill_rig,8963.0,83.54,5.83,239.88,382.19,60.82,36,3,medium,day,0
EQ-BALL-MILL-124,ball_mill,3776.5,87.13,5.65,169.69,506.64,77.92,37,1,medium,day,1
EQ-EXCAVATOR-104,excavator,3580.9,82.29,5.94,198.32,332.79,75.27,14,2,medium,day,0
EQ-BALL-MILL-081,ball_mill,4543.7,95.06,8.24,170.77,565.44,82.35,51,5,medium,night,1
EQ-EXCAVATOR-069,excavator,4157.6,91.22,8.21,197.88,337.21,70.57,78,2,medium,day,0
EQ-DRILL-RIG-090,drill_rig,5620.9,66.45,7.78,249.39,449.39,76.7,25,1,low,day,0
EQ-DRILL-RIG-054,drill_rig,7030.9,80.85,4.77,236.99,318.29,52.29,52,0,medium,day,0
EQ-CONVEYOR-BELT-071,conveyor_belt,2268.7,62.71,0.2,74.1,103.43,35.17,26,0,high,night,0
EQ-EXCAVATOR-031,excavator,3921.8,83.09,4.16,222.13,366.29,92.2,5,4,low,day,0
EQ-HAUL-TRUCK-031,haul_truck,9484.4,75.51,4.18,146.57,517.13,95.89,53,2,low,day,1
EQ-CRUSHER-121,crusher,2163.3,92.97,6.87,158.62,541.52,62.94,19,1,medium,night,0
EQ-HAUL-TRUCK-100,haul_truck,4256.5,83.85,6.13,149.7,552.65,71.42,8,2,low,night,1
EQ-DRILL-RIG-054,drill_rig,890.9,73.72,6.22,232.79,328.36,69.89,85,1,high,night,0
EQ-HAUL-TRUCK-099,haul_truck,2937.7,83.78,3.92,145.36,411.39,81.78,47,1,medium,night,0
EQ-HAUL-TRUCK-120,haul_truck,2578.1,86.18,6.34,205.55,354.32,67.56,30,1,high,day,0
EQ-CONVEYOR-BELT-020,conveyor_belt,5521.2,68.4,3.35,68.26,237.69,77.7,13,1,medium,day,0
EQ-CRUSHER-077,crusher,6473.2,95.09,4.35,196.08,559.01,86.24,53,1,low,day,1
EQ-DRILL-RIG-077,drill_rig,3289.0,65.12,6.72,207.1,424.3,93.0,19,1,low,day,0
EQ-HAUL-TRUCK-120,haul_truck,4356.6,79.3,5.67,157.79,383.15,101.35,38,0,medium,night,0
EQ-EXCAVATOR-021,excavator,2698.3,81.04,7.24,198.97,357.02,73.06,24,3,medium,day,0
EQ-CONVEYOR-BELT-055,conveyor_belt,3574.2,58.31,2.33,96.81,200.72,74.69,23,1,medium,day,0
EQ-BALL-MILL-092,ball_mill,3147.5,84.67,6.96,200.25,613.47,72.17,22,0,low,day,1
EQ-EXCAVATOR-061,excavator,4875.1,91.09,5.9,180.31,317.32,62.32,10,0,medium,day,0
EQ-CONVEYOR-BELT-018,conveyor_belt,3298.1,57.42,4.68,48.87,207.61,91.05,19,2,medium,day,0
EQ-HAUL-TRUCK-146,haul_truck,4502.9,86.96,5.64,143.98,425.01,75.83,4,1,medium,day,1
EQ-CONVEYOR-BELT-114,conveyor_belt,2443.6,75.26,2.56,103.22,142.36,90.38,91,2,high,day,0
EQ-EXCAVATOR-112,excavator,5215.3,73.3,5.78,240.88,283.75,76.32,13,2,medium,day,1
EQ-EXCAVATOR-014,excavator,3098.1,83.99,5.11,201.59,327.04,79.24,8,5,medium,night,0
EQ-EXCAVATOR-130,excavator,2314.8,77.47,6.99,184.48,384.58,90.84,40,1,medium,day,0
EQ-EXCAVATOR-122,excavator,3696.3,76.91,5.15,171.9,384.08,81.73,8,0,medium,night,0
EQ-EXCAVATOR-053,excavator,3560.7,77.81,4.26,230.78,280.02,78.68,55,1,medium,night,0
EQ-CONVEYOR-BELT-125,conveyor_belt,3081.5,63.41,4.44,75.83,208.86,70.1,77,2,medium,day,0
EQ-CRUSHER-011,crusher,6225.9,88.66,9.52,184.56,553.01,104.94,5,0,medium,night,1
EQ-CONVEYOR-BELT-035,conveyor_belt,3157.0,67.39,3.61,100.5,209.1,79.4,46,1,medium,day,0
EQ-EXCAVATOR-070,excavator,5240.7,91.1,4.47,182.06,320.56,90.9,45,1,medium,night,0
EQ-BALL-MILL-131,ball_mill,4288.8,88.12,5.87,197.78,608.6,79.31,180,0,medium,night,1
EQ-CRUSHER-089,crusher,1514.0,96.72,7.82,194.05,625.48,80.64,19,1,medium,night,1
EQ-CONVEYOR-BELT-125,conveyor_belt,5632.8,66.4,3.96,90.37,192.24,68.87,67,1,medium,night,0
EQ-CONVEYOR-BELT-014,conveyor_belt,4129.6,67.46,0.63,92.86,208.31,69.85,55,0,high,day,0
EQ-HAUL-TRUCK-028,haul_truck,6382.4,79.33,4.75,157.68,430.43,78.64,25,1,medium,day,0
EQ-HAUL-TRUCK-095,haul_truck,3786.8,84.64,4.23,145.65,377.94,67.4,19,0,medium,day,0
EQ-CRUSHER-008,crusher,6056.1,88.73,9.45,199.71,423.37,73.03,32,0,medium,day,1
EQ-CRUSHER-070,crusher,5652.3,94.09,8.15,183.66,533.93,76.03,24,0,high,day,0
EQ-EXCAVATOR-039,excavator,3262.1,79.34,5.44,179.09,241.67,60.84,28,0,high,day,0
EQ-HAUL-TRUCK-010,haul_truck,2591.5,88.45,5.77,174.34,540.13,103.41,32,1,medium,night,0
EQ-CRUSHER-008,crusher,4871.4,89.34,8.47,177.01,476.42,59.63,39,1,low,day,1
EQ-CONVEYOR-BELT-030,conveyor_belt,5148.0,69.17,1.56,106.88,166.37,77.87,14,5,high,day,0
EQ-EXCAVATOR-045,excavator,8202.9,70.63,6.64,231.13,343.11,63.77,74,4,medium,night,1
EQ-HAUL-TRUCK-082,haul_truck,3169.0,83.47,6.86,190.67,449.12,94.83,36,0,low,day,0
EQ-BALL-MILL-105,ball_mill,7915.1,85.86,7.26,171.66,598.17,72.53,101,3,high,day,1
EQ-CONVEYOR-BELT-006,conveyor_belt,3864.6,69.44,2.42,87.64,167.82,64.96,26,3,high,day,0
EQ-HAUL-TRUCK-116,haul_truck,4459.5,84.43,4.28,118.17,428.16,69.96,36,0,medium,night,0
EQ-BALL-MILL-067,ball_mill,6185.1,93.14,6.43,181.07,644.05,80.12,42,1,medium,day,1
EQ-HAUL-TRUCK-147,haul_truck,6705.3,88.56,4.93,144.64,412.27,66.47,51,2,high,day,0
EQ-EXCAVATOR-097,excavator,3514.3,78.18,5.72,237.58,387.97,62.23,30,3,medium,night,1
EQ-BALL-MILL-073,ball_mill,4710.5,81.97,7.34,183.2,559.26,89.87,8,1,medium,night,0
EQ-HAUL-TRUCK-119,haul_truck,4404.5,85.8,4.18,161.35,513.31,77.73,21,1,medium,day,0
EQ-DRILL-RIG-009,drill_rig,2685.6,89.96,6.23,273.98,349.81,80.96,19,2,high,night,0
EQ-HAUL-TRUCK-122,haul_truck,4357.0,98.1,3.46,188.57,429.56,76.03,119,2,high,night,0
EQ-HAUL-TRUCK-043,haul_truck,4871.6,93.88,6.64,167.18,444.28,65.98,44,3,high,night,0
EQ-DRILL-RIG-058,drill_rig,4142.1,68.82,7.81,222.71,417.46,78.08,59,0,low,day,0
EQ-BALL-MILL-075,ball_mill,2198.3,92.23,6.88,161.32,576.48,82.17,21,3,medium,day,0
EQ-CRUSHER-035,crusher,2722.5,106.46,9.55,145.34,518.42,68.98,15,2,low,night,1
EQ-HAUL-TRUCK-081,haul_truck,4294.8,76.97,5.09,132.81,402.65,60.6,25,1,high,night,0
EQ-EXCAVATOR-070,excavator,5469.0,69.23,4.71,212.35,493.39,67.72,50,1,low,day,1
EQ-HAUL-TRUCK-147,haul_truck,4743.0,81.43,5.55,146.4,393.27,66.58,68,2,high,day,0
EQ-EXCAVATOR-010,excavator,2786.4,83.0,4.89,218.63,333.39,51.19,29,2,high,night,0
EQ-CONVEYOR-BELT-060,conveyor_belt,8254.0,73.7,2.12,86.61,172.32,69.42,65,2,high,night,0
EQ-EXCAVATOR-027,excavator,6460.1,91.8,8.83,196.79,354.54,63.11,19,1,high,night,1
EQ-CONVEYOR-BELT-042,conveyor_belt,3975.9,54.26,5.79,76.66,184.09,79.63,52,5,medium,day,0
EQ-BALL-MILL-110,ball_mill,2545.7,102.67,5.67,143.11,641.04,87.21,58,2,high,night,1
EQ-CRUSHER-060,crusher,6780.7,93.92,8.0,191.51,551.57,88.59,69,0,medium,night,1
EQ-HAUL-TRUCK-059,haul_truck,3734.0,76.17,5.63,232.12,454.81,76.4,4,2,medium,day,0
EQ-BALL-MILL-010,ball_mill,2803.4,89.79,8.36,173.0,587.89,95.49,49,0,low,night,1
EQ-BALL-MILL-113,ball_mill,4093.7,87.19,7.01,158.33,572.48,73.39,11,1,high,day,0
EQ-HAUL-TRUCK-123,haul_truck,5112.4,90.55,4.6,122.18,473.86,84.16,19,0,low,night,0
EQ-BALL-MILL-112,ball_mill,7039.4,87.64,5.85,176.63,647.54,100.52,49,3,medium,day,1
EQ-EXCAVATOR-141,excavator,1523.9,80.96,6.46,189.52,394.73,65.73,81,1,high,night,1
EQ-HAUL-TRUCK-003,haul_truck,8253.5,79.41,6.59,165.73,405.18,95.03,94,0,medium,night,1
EQ-HAUL-TRUCK-118,haul_truck,3685.4,95.82,3.96,152.44,542.31,86.14,70,1,medium,night,0
EQ-DRILL-RIG-082,drill_rig,1906.9,71.17,6.78,257.91,408.34,80.57,19,1,low,day,0
EQ-HAUL-TRUCK-054,haul_truck,3211.3,92.9,6.46,180.16,396.43,70.78,85,3,high,night,1
EQ-DRILL-RIG-114,drill_rig,4892.1,80.77,5.7,246.12,309.77,55.52,18,2,high,night,0
EQ-EXCAVATOR-096,excavator,820.0,84.93,8.01,224.11,425.29,61.9,21,1,high,day,0
EQ-CRUSHER-126,crusher,5256.2,90.33,9.44,167.9,513.55,98.57,61,2,medium,day,1
EQ-HAUL-TRUCK-066,haul_truck,1510.4,98.03,5.93,167.86,400.64,61.41,65,1,medium,night,0
EQ-CONVEYOR-BELT-081,conveyor_belt,3900.3,55.15,5.04,76.37,193.25,68.03,48,0,medium,day,0
EQ-CRUSHER-145,crusher,2530.3,98.4,10.16,176.06,597.05,100.42,11,1,medium,night,1
EQ-CRUSHER-072,crusher,3680.9,86.73,8.89,225.74,424.28,69.23,17,1,low,day,0
EQ-DRILL-RIG-088,drill_rig,8971.6,81.14,6.35,194.98,486.68,82.26,43,0,low,night,0
EQ-CRUSHER-043,crusher,2754.7,98.09,6.56,171.09,577.83,82.43,59,3,medium,night,1
EQ-CONVEYOR-BELT-145,conveyor_belt,4304.7,45.69,2.66,110.23,290.84,64.75,32,3,medium,day,0
EQ-DRILL-RIG-099,drill_rig,1741.8,91.61,4.37,236.36,401.07,67.36,67,2,high,night,0
EQ-CONVEYOR-BELT-066,conveyor_belt,3337.0,70.73,5.78,125.98,171.64,76.13,42,4,low,day,0
EQ-BALL-MILL-084,ball_mill,1590.3,71.2,5.64,148.26,637.11,71.74,51,5,medium,day,1
EQ-CONVEYOR-BELT-105,conveyor_belt,1510.7,59.91,2.01,75.15,138.56,57.54,51,2,medium,night,0
EQ-HAUL-TRUCK-126,haul_truck,6120.2,89.27,5.34,178.79,488.84,85.11,50,0,medium,day,0
EQ-CRUSHER-031,crusher,3899.2,92.62,6.59,194.81,570.65,87.49,55,0,medium,day,0
EQ-EXCAVATOR-018,excavator,3661.4,76.16,5.32,194.23,382.66,62.73,10,1,medium,day,0
EQ-HAUL-TRUCK-049,haul_truck,5512.0,73.85,5.64,151.35,358.1,80.54,23,3,medium,night,0
EQ-DRILL-RIG-096,drill_rig,1456.7,90.16,5.3,230.46,488.08,80.53,29,0,high,night,0
EQ-EXCAVATOR-035,excavator,3645.5,71.94,4.52,204.14,379.24,74.69,19,0,medium,night,0
EQ-EXCAVATOR-125,excavator,5162.0,84.04,3.33,201.6,356.88,68.15,27,0,high,night,0
EQ-BALL-MILL-027,ball_mill,2893.9,78.42,6.78,186.04,660.72,83.39,28,0,low,night,0
EQ-CRUSHER-010,crusher,3536.6,100.49,6.95,171.11,463.46,87.48,32,1,low,day,1
EQ-CRUSHER-125,crusher,3838.5,93.39,9.95,168.82,597.68,95.6,16,0,medium,day,0
EQ-BALL-MILL-073,ball_mill,2549.5,82.03,7.23,168.11,473.23,61.55,28,1,high,night,0
EQ-DRILL-RIG-054,drill_rig,2706.3,87.05,5.88,255.94,471.29,72.72,31,2,low,night,0
EQ-DRILL-RIG-147,drill_rig,5304.1,87.34,9.01,225.74,451.69,83.25,87,1,high,night,1
EQ-CRUSHER-063,crusher,3386.2,83.02,7.53,210.5,480.98,67.06,70,0,high,day,0
EQ-HAUL-TRUCK-076,haul_truck,3002.0,78.92,3.7,152.97,402.43,61.08,11,1,medium,night,0
EQ-HAUL-TRUCK-131,haul_truck,2943.2,83.67,6.55,184.57,463.39,95.56,100,0,high,night,0
EQ-HAUL-TRUCK-080,haul_truck,3931.7,75.21,5.63,120.6,562.14,92.69,29,2,low,night,1
EQ-HAUL-TRUCK-033,haul_truck,4574.5,84.87,4.2,158.32,383.73,91.38,27,4,medium,night,0
EQ-EXCAVATOR-045,excavator,6207.3,80.27,7.19,199.94,278.95,55.77,19,0,low,day,1
EQ-DRILL-RIG-137,drill_rig,5484.6,72.67,6.63,225.09,488.19,74.05,28,0,medium,day,0
EQ-EXCAVATOR-007,excavator,2060.4,71.42,3.12,208.59,276.54,62.36,39,1,low,night,0
EQ-CRUSHER-010,crusher,5455.3,88.21,7.11,165.59,409.81,66.68,57,2,medium,night,1
EQ-CRUSHER-122,crusher,6445.5,92.29,6.9,186.08,455.61,69.67,16,0,medium,day,0
EQ-EXCAVATOR-078,excavator,2519.0,73.73,3.18,201.09,344.92,58.04,5,1,high,day,0
EQ-HAUL-TRUCK-027,haul_truck,2840.6,87.76,6.35,154.98,471.8,67.03,38,1,medium,night,0
EQ-EXCAVATOR-109,excavator,2043.6,90.27,4.44,226.75,336.9,76.61,58,0,medium,day,0
EQ-DRILL-RIG-113,drill_rig,5464.0,80.22,5.66,257.03,310.71,69.57,20,1,high,day,0
EQ-BALL-MILL-093,ball_mill,7353.4,98.09,8.27,173.86,490.24,54.24,110,1,high,day,0
EQ-EXCAVATOR-043,excavator,7716.7,79.43,5.03,236.01,479.81,86.48,11,3,low,day,0
EQ-CRUSHER-051,crusher,3488.9,101.3,7.37,184.52,644.61,106.55,33,0,medium,night,1
EQ-EXCAVATOR-112,excavator,3613.4,74.89,6.92,182.35,362.94,76.5,7,0,low,day,0
EQ-EXCAVATOR-040,excavator,4514.9,83.73,4.22,208.38,373.55,48.23,113,0,high,day,0
EQ-CONVEYOR-BELT-061,conveyor_belt,5599.0,62.84,4.69,96.43,84.75,70.49,16,2,high,day,0
EQ-CONVEYOR-BELT-119,conveyor_belt,7663.3,64.14,4.14,92.9,231.72,78.31,43,3,low,night,0
EQ-EXCAVATOR-085,excavator,1196.4,82.17,3.57,219.39,339.98,69.04,26,0,low,night,0
EQ-HAUL-TRUCK-140,haul_truck,1591.3,90.32,6.24,158.02,405.23,71.47,29,2,high,day,0
EQ-CONVEYOR-BELT-003,conveyor_belt,3199.6,48.5,3.17,66.78,218.97,59.39,19,2,medium,day,0
EQ-CRUSHER-140,crusher,3716.8,89.94,6.74,177.87,548.43,88.0,41,0,high,day,1
EQ-BALL-MILL-138,ball_mill,6340.5,89.59,5.35,178.1,583.15,90.71,11,0,low,day,1
EQ-CRUSHER-083,crusher,6498.0,79.62,7.64,176.88,569.59,99.33,23,0,high,day,0
EQ-HAUL-TRUCK-105,haul_truck,6696.9,90.61,6.7,174.94,429.95,78.73,32,0,medium,night,0
EQ-CONVEYOR-BELT-119,conveyor_belt,3769.5,59.89,2.37,79.61,161.59,81.25,38,1,high,day,0
EQ-BALL-MILL-093,ball_mill,5107.5,97.05,8.35,178.93,627.79,73.48,66,0,low,day,1
EQ-CRUSHER-131,crusher,6775.2,95.32,7.43,177.23,470.4,84.11,29,2,medium,day,1
EQ-BALL-MILL-091,ball_mill,9783.7,85.3,8.77,165.67,626.17,80.03,15,0,medium,day,1
EQ-HAUL-TRUCK-033,haul_truck,3579.4,91.41,4.4,119.76,447.74,75.47,13,0,medium,night,0
EQ-HAUL-TRUCK-074,haul_truck,2904.9,83.3,3.03,178.28,566.82,80.41,56,1,low,night,0
EQ-EXCAVATOR-083,excavator,3814.7,78.98,6.21,246.5,417.16,81.65,130,1,medium,night,0
EQ-CRUSHER-009,crusher,5106.6,107.85,6.94,198.31,450.75,68.7,56,0,medium,day,0
EQ-BALL-MILL-139,ball_mill,2166.3,102.83,5.61,175.71,496.9,83.32,6,2,high,night,1
EQ-BALL-MILL-107,ball_mill,6979.0,90.74,7.22,149.02,574.07,79.56,23,1,medium,night,1
EQ-CRUSHER-031,crusher,9388.0,81.79,7.23,195.32,577.54,92.18,63,2,medium,day,1
EQ-CONVEYOR-BELT-007,conveyor_belt,2734.3,60.81,2.59,113.06,231.7,70.21,12,1,medium,night,0
EQ-CONVEYOR-BELT-091,conveyor_belt,1582.8,77.25,2.9,90.95,210.19,76.03,45,0,medium,day,0
EQ-DRILL-RIG-023,drill_rig,3874.8,77.66,8.59,250.89,503.58,87.76,13,2,high,night,0
EQ-HAUL-TRUCK-124,haul_truck,3951.8,96.18,3.31,139.52,446.57,63.56,65,3,high,day,0
EQ-CONVEYOR-BELT-004,conveyor_belt,3516.4,73.43,3.04,94.76,96.18,48.42,17,3,low,day,0
EQ-DRILL-RIG-128,drill_rig,4181.3,80.52,10.06,215.47,436.15,81.17,10,1,medium,day,0
EQ-DRILL-RIG-126,drill_rig,6369.5,79.54,9.16,206.25,498.55,73.85,33,1,medium,night,1
EQ-DRILL-RIG-090,drill_rig,8566.7,70.93,2.97,195.61,395.68,76.04,1,0,low,night,0
EQ-BALL-MILL-104,ball_mill,4145.5,93.53,7.57,151.78,675.87,85.52,37,0,medium,day,0
EQ-HAUL-TRUCK-055,haul_truck,1447.2,70.4,4.39,187.46,497.88,88.06,49,2,low,night,0
EQ-HAUL-TRUCK-144,haul_truck,3667.1,99.58,4.85,166.19,482.62,76.76,65,0,medium,night,0
