equipment_id,operation_hours,temperature_celsius,vibration_mm_s,pressure_bar,current_amp,load_percentage,maintenance_days_since_last,failure_history_count,failure_next_7_days,high_temperature_flag,high_vibration_flag,maintenance_risk_flag,operational_stress_score,equipment_type_conveyor_belt,equipment_type_crusher,equipment_type_mill,equipment_type_pump,equipment_type_truck,environment_dust_level_high,environment_dust_level_low,environment_dust_level_medium,shift_day,shift_night
PUM-00067,2659.6,80.81,5.48,9.1,236.86,72.31,41,0,0,0,0,0,0.36661961256546083,0,0,0,1,0,1,0,0,1,0
PUM-00068,4185.8,74.43,5.24,8.91,337.75,65.03,58,0,0,0,0,0,0.3606004727434708,0,0,0,1,0,1,0,0,0,1
MIL-00069,2589.6,94.58,6.53,5.64,557.45,92.92,65,1,1,1,0,0,0.5035420594437147,0,0,1,0,0,0,1,0,1,0
CON-00070,5775.5,64.19,7.98,4.62,124.54,88.71,29,0,0,0,1,0,0.4176386670070246,1,0,0,0,0,0,0,1,0,1
PUM-00071,4958.8,69.89,7.49,9.51,185.16,61.86,25,1,0,0,0,0,0.3601840759450627,0,0,0,1,0,0,0,1,1,0
PUM-00072,3492.3,64.14,2.27,8.73,267.33,63.16,52,4,0,0,0,1,0.26130354038175696,0,0,0,1,0,0,1,0,1,0
CON-00073,2489.6,80.23,3.99,2.3,246.47,62.47,34,0,0,0,0,0,0.31507362053223664,1,0,0,0,0,0,0,1,0,1
PUM-00074,2583.7,79.44,6.03,8.04,319.43,71.24,15,0,1,0,0,0,0.3626228749371605,0,0,0,1,0,1,0,0,0,1
TRU-00075,1573.2,66.67,1.96,8.38,352.05,76.09,36,0,0,0,0,0,0.2677247131335513,0,0,0,0,1,0,0,1,0,1
PUM-00076,7455.8,48.03,6.61,9.05,314.14,66.56,15,1,0,0,0,0,0.32564444634178036,0,0,0,1,0,1,0,0,1,0
PUM-00077,2269.5,79.96,6.85,7.33,343.09,64.22,63,2,0,0,0,0,0.3792976074719599,0,0,0,1,0,0,1,0,0,1
CRU-00078,3924.2,99.3,6.59,6.9,494.09,92.02,21,0,0,1,0,0,0.511373332404362,0,1,0,0,0,1,0,0,0,1
CON-00079,8797.0,58.88,6.43,5.45,129.56,54.62,62,1,0,0,0,0,0.35385197065294505,1,0,0,0,0,0,0,1,1,0
CON-00080,13330.3,52.53,3.51,4.01,248.78,62.17,24,1,0,0,0,0,0.35542963305484065,1,0,0,0,0,0,0,1,0,1
TRU-00081,2062.2,83.13,5.97,7.51,499.88,73.41,34,0,0,0,0,0,0.3919915439513679,0,0,0,0,1,0,0,1,0,1
CRU-00082,4080.7,90.17,6.17,9.78,533.09,79.49,55,2,0,1,0,0,0.4675150331997614,0,1,0,0,0,0,0,1,1,0
TRU-00083,8306.2,83.69,5.15,7.24,357.6,39.42,35,0,0,0,0,0,0.3756473926955386,0,0,0,0,1,0,1,0,1,0
PUM-00084,4674.7,60.31,6.12,10.18,237.66,67.81,56,2,0,0,0,0,0.3350591344001456,0,0,0,1,0,0,1,0,1,0
CON-00085,7003.3,50.7,2.68,2.85,240.49,65.89,116,1,0,0,0,1,0.3018396242129178,1,0,0,0,0,0,1,0,1,0
MIL-00086,5084.3,67.46,9.32,6.99,470.06,74.73,39,1,0,0,1,0,0.4376030454296114,0,0,1,0,0,0,0,1,1,0
MIL-00087,1822.5,92.59,6.49,6.72,539.15,79.79,31,2,1,1,0,0,0.44222696002625483,0,0,1,0,0,0,0,1,1,0
CON-00088,4540.0,65.0,5.49,2.19,287.36,81.9,26,0,0,0,0,0,0.36024903406419884,1,0,0,0,0,0,1,0,0,1
MIL-00089,5071.9,68.45,8.65,6.6,555.24,86.49,21,0,0,0,1,0,0.45457014273099844,0,0,1,0,0,0,0,1,0,1
CON-00090,6644.6,67.81,6.19,3.85,158.18,69.56,29,3,0,0,0,1,0.3716885214849388,1,0,0,0,0,1,0,0,1,0
CRU-00091,5718.3,104.77,8.6,6.79,455.72,82.47,50,0,0,1,1,0,0.5712292652053189,0,1,0,0,0,0,0,1,0,1
CRU-00092,3305.7,89.4,8.31,9.21,517.22,93.61,48,0,0,1,1,0,0.5162043164088038,0,1,0,0,0,0,0,1,0,1
CRU-00093,3780.3,89.62,9.31,8.21,631.26,87.62,111,2,0,1,1,1,0.5598232297484973,0,1,0,0,0,1,0,0,0,1
TRU-00094,2555.1,73.45,7.98,5.69,461.47,70.03,49,1,0,0,1,0,0.3958989375770907,0,0,0,0,1,0,1,0,1,0
TRU-00095,2825.5,96.8,5.42,8.9,353.64,65.46,49,1,0,1,0,0,0.4139254963308641,0,0,0,0,1,0,1,0,0,1
CON-00096,2806.9,67.92,3.72,4.88,264.37,59.4,16,0,0,0,0,0,0.26350250068642705,1,0,0,0,0,0,1,0,1,0
TRU-00097,2870.4,75.54,3.63,5.59,449.36,61.67,26,1,0,0,0,0,0.30889075792289056,0,0,0,0,1,0,0,1,0,1
MIL-00098,6498.7,95.3,6.65,7.46,560.91,77.66,121,1,1,1,0,1,0.5475032493028422,0,0,1,0,0,0,1,0,0,1
TRU-00099,4102.2,71.42,3.71,5.13,417.27,78.77,54,2,0,0,0,0,0.36052362992855513,0,0,0,0,1,0,1,0,1,0
TRU-00100,3600.6,67.7,5.03,5.64,400.88,85.06,49,3,0,0,0,1,0.3740349815252665,0,0,0,0,1,0,0,1,1,0
PUM-00101,2073.6,73.96,4.13,9.33,304.25,74.05,21,0,0,0,0,0,0.3168017304836215,0,0,0,1,0,0,0,1,1,0
CON-00102,5605.7,57.97,5.33,6.41,183.85,52.4,51,4,0,0,0,1,0.28714597689225646,1,0,0,0,0,0,0,1,0,1
MIL-00103,6839.6,79.39,7.1,6.46,529.9,86.76,18,1,0,0,0,0,0.48437928723585255,0,0,1,0,0,0,0,1,0,1
TRU-00104,4455.7,85.24,7.05,6.53,406.87,64.44,73,2,0,1,0,0,0.43603598187672293,0,0,0,0,1,0,0,1,1,0
CON-00105,2287.5,71.78,4.7,3.49,326.76,88.2,41,2,1,0,0,0,0.3631131530092128,1,0,0,0,0,0,1,0,1,0
PUM-00106,8078.3,83.39,7.57,10.63,288.88,68.49,34,2,1,0,1,0,0.46918836127816854,0,0,0,1,0,0,0,1,1,0
MIL-00107,6361.0,94.73,8.73,8.68,564.74,89.15,28,2,1,1,1,0,0.5635958557118382,0,0,1,0,0,0,1,0,0,1
CON-00108,5099.7,56.52,6.09,4.77,275.34,60.66,42,1,0,0,0,0,0.30916232569564955,1,0,0,0,0,0,1,0,1,0
CRU-00109,7144.1,80.49,7.22,6.53,642.8,78.26,92,1,1,0,0,1,0.5136484489255732,0,1,0,0,0,1,0,0,1,0
TRU-00110,7582.7,81.46,6.02,3.97,430.09,77.29,111,0,0,0,0,1,0.49415969219169265,0,0,0,0,1,0,1,0,1,0
CRU-00111,5807.8,89.81,9.21,7.96,518.6,85.02,42,1,0,1,1,0,0.5421958463041734,0,1,0,0,0,1,0,0,0,1
CON-00112,2934.3,47.6,5.17,5.09,313.64,56.9,43,3,0,0,0,1,0.23397708200108863,1,0,0,0,0,0,0,1,0,1
TRU-00113,3053.0,68.77,5.04,4.33,352.06,71.0,52,1,0,0,0,0,0.33709790154441405,0,0,0,0,1,1,0,0,1,0
TRU-00114,1629.7,74.29,6.57,8.48,439.36,81.71,89,0,0,0,0,0,0.405572537921806,0,0,0,0,1,1,0,0,1,0
CON-00115,3760.6,68.5,2.4,2.28,101.97,57.48,38,0,0,0,0,0,0.25020277526127666,1,0,0,0,0,0,1,0,0,1
CON-00116,4051.8,56.73,6.29,4.64,194.68,74.11,26,1,0,0,0,0,0.31702741905151827,1,0,0,0,0,0,1,0,1,0
PUM-00117,3801.7,60.14,3.3,9.41,394.49,75.2,59,0,0,0,0,0,0.3076841128757467,0,0,0,1,0,1,0,0,0,1
PUM-00118,5788.2,80.63,4.9,12.23,240.4,75.56,69,0,0,0,0,0,0.416158783241786,0,0,0,1,0,0,1,0,1,0
CRU-00119,5789.1,81.98,7.76,7.23,453.68,66.43,18,1,0,0,1,0,0.43885633639837934,0,1,0,0,0,0,0,1,1,0
CON-00120,6534.9,71.73,4.51,4.25,321.09,70.31,66,3,0,0,0,1,0.38467222714845556,1,0,0,0,0,1,0,0,0,1
MIL-00121,4564.1,88.92,6.35,6.94,587.8,81.89,23,3,0,1,0,1,0.4684524712440796,0,0,1,0,0,0,1,0,1,0
PUM-00122,2703.7,79.19,5.54,9.85,266.38,82.2,12,2,0,0,0,0,0.3750012299395019,0,0,0,1,0,0,1,0,0,1
CRU-00123,2971.2,100.12,6.75,7.01,558.93,78.71,59,0,1,1,0,0,0.4951662495530386,0,1,0,0,0,0,1,0,1,0
CRU-00124,1137.6,78.28,8.32,6.8,576.56,82.84,42,0,0,0,1,0,0.431776483317126,0,1,0,0,0,0,1,0,1,0
TRU-00125,2589.1,76.88,5.4,7.77,394.64,90.12,26,0,0,0,0,0,0.39664413320060504,0,0,0,0,1,1,0,0,0,1
TRU-00126,5154.5,68.73,5.36,5.12,416.92,72.07,33,1,0,0,0,0,0.36792108996651646,0,0,0,0,1,1,0,0,0,1
PUM-00127,3357.3,58.62,4.98,8.83,324.72,75.32,33,3,0,0,0,1,0.30818449295698724,0,0,0,1,0,0,0,1,0,1
PUM-00128,1856.4,72.83,4.74,11.8,273.69,56.23,75,0,0,0,0,0,0.3009777463457402,0,0,0,1,0,1,0,0,1,0
CON-00129,1598.3,55.3,3.06,6.43,204.35,78.87,34,0,0,0,0,0,0.2449041507556561,1,0,0,0,0,0,0,1,0,1
TRU-00130,4354.6,74.67,4.45,5.1,450.62,79.46,24,1,0,0,0,0,0.37685374105703545,0,0,0,0,1,1,0,0,0,1
PUM-00131,2699.2,77.07,3.77,9.47,261.95,64.78,24,1,0,0,0,0,0.30649994947271225,0,0,0,1,0,1,0,0,1,0
CRU-00132,4521.4,88.69,7.7,6.97,561.39,90.7,57,2,0,1,1,0,0.5203745916283113,0,1,0,0,0,0,1,0,1,0
TRU-00133,1258.5,91.85,1.15,8.82,493.16,75.17,17,2,0,1,0,0,0.32924616081713753,0,0,0,0,1,0,0,1,1,0
TRU-00134,1495.2,92.36,7.56,6.18,469.51,87.64,43,3,0,1,1,1,0.47170710796935184,0,0,0,0,1,0,0,1,0,1
MIL-00135,6025.0,68.92,3.91,5.53,456.29,75.08,9,1,0,0,0,0,0.35624321102663203,0,0,1,0,0,1,0,0,0,1
CRU-00136,3592.9,88.43,6.21,9.03,522.94,74.49,28,0,0,1,0,0,0.4333706099026723,0,1,0,0,0,0,0,1,0,1
TRU-00137,2678.3,84.96,5.6,6.97,478.2,86.07,39,3,0,0,0,1,0.42841863726509066,0,0,0,0,1,1,0,0,0,1
MIL-00138,2098.6,90.08,7.82,6.63,398.26,84.89,51,0,0,1,1,0,0.46864269053584084,0,0,1,0,0,1,0,0,1,0
TRU-00139,3620.9,93.14,5.8,6.01,437.21,83.06,35,0,1,1,0,0,0.45783103627039423,0,0,0,0,1,0,1,0,1,0
CON-00140,5344.8,64.93,3.2,3.73,348.58,82.7,35,0,0,0,0,0,0.34413576468699447,1,0,0,0,0,0,1,0,0,1
MIL-00141,1526.3,88.49,4.14,6.53,397.85,81.0,60,1,0,1,0,0,0.3935158544401143,0,0,1,0,0,1,0,0,1,0
TRU-00142,2837.7,72.95,6.32,4.82,369.55,76.65,236,1,1,0,0,1,0.4582718763337802,0,0,0,0,1,1,0,0,1,0
MIL-00143,5224.1,85.57,7.38,5.37,593.94,85.98,48,1,1,1,0,0,0.502676020084691,0,0,1,0,0,1,0,0,1,0
TRU-00144,3619.0,76.21,4.73,6.13,397.06,81.22,53,1,0,0,0,0,0.38889762829571417,0,0,0,0,1,0,0,1,0,1
TRU-00145,6057.7,87.74,5.18,7.49,472.49,76.35,101,1,0,1,0,1,0.4776685796218321,0,0,0,0,1,0,1,0,1,0
CRU-00146,1679.7,85.82,4.54,8.31,502.52,84.25,121,0,1,1,0,1,0.43360302736536716,0,1,0,0,0,1,0,0,1,0
MIL-00147,2590.2,78.39,8.33,6.84,514.07,82.64,144,0,1,0,1,1,0.488692916946344,0,0,1,0,0,1,0,0,0,1
PUM-00148,1884.0,87.24,3.01,10.83,302.52,69.85,58,1,0,1,0,0,0.3440834544500476,0,0,0,1,0,1,0,0,0,1
TRU-00149,2579.3,84.11,7.48,5.1,473.05,66.95,45,4,0,0,0,1,0.4138026224420027,0,0,0,0,1,1,0,0,1,0
CON-00150,3725.6,56.79,3.93,5.35,295.44,89.57,60,1,0,0,0,0,0.3315435642914675,1,0,0,0,0,0,1,0,1,0
TRU-00151,2569.8,71.55,7.02,4.5,546.73,71.78,48,2,0,0,0,0,0.38454587446805555,0,0,0,0,1,0,1,0,1,0
CON-00152,2015.0,51.17,6.24,4.02,265.4,66.8,46,0,0,0,0,0,0.26999809531272817,1,0,0,0,0,0,0,1,1,0
CRU-00153,3291.1,100.84,8.47,9.3,534.36,81.98,108,1,1,1,1,1,0.5546164803909782,0,1,0,0,0,1,0,0,1,0
CON-00154,3584.4,63.83,7.34,5.13,259.25,68.71,39,3,0,0,0,1,0.3476750147144836,1,0,0,0,0,0,1,0,1,0
CRU-00155,4354.1,95.95,8.22,6.65,546.51,72.01,59,0,0,1,1,0,0.5072913049297273,0,1,0,0,0,0,0,1,0,1
MIL-00156,5733.1,69.71,7.48,6.39,512.7,95.46,41,0,1,0,0,0,0.4738121930848368,0,0,1,0,0,1,0,0,0,1
PUM-00157,6381.5,66.0,6.77,9.96,431.46,90.87,117,0,0,0,0,1,0.4752601523550442,0,0,0,1,0,0,0,1,1,0
TRU-00158,5976.8,84.27,8.29,7.12,540.95,73.66,29,2,0,0,1,0,0.4835491969105052,0,0,0,0,1,0,0,1,1,0
MIL-00159,4016.6,88.72,7.49,7.53,524.23,80.91,125,2,1,1,0,1,0.5147872321078941,0,0,1,0,0,0,1,0,1,0
MIL-00160,1689.2,82.92,6.49,6.26,414.74,72.81,71,2,0,0,0,0,0.402889392355192,0,0,1,0,0,0,0,1,0,1
TRU-00161,4556.9,57.51,6.43,8.0,519.56,50.67,34,2,0,0,0,0,0.30236131073797373,0,0,0,0,1,0,1,0,0,1
MIL-00162,4878.6,77.87,7.49,6.65,414.28,92.31,26,1,0,0,0,0,0.46819622091483537,0,0,1,0,0,0,0,1,1,0
CON-00163,5089.0,45.19,4.18,4.43,188.0,68.82,34,1,0,0,0,0,0.2523045711250427,1,0,0,0,0,0,0,1,1,0
TRU-00164,1653.5,76.31,6.82,5.91,448.39,73.31,41,1,0,0,0,0,0.37799951394653436,0,0,0,0,1,1,0,0,0,1
TRU-00165,4557.9,64.55,7.25,7.15,345.16,57.01,67,1,0,0,0,0,0.3527606363123574,0,0,0,0,1,0,0,1,0,1
CRU-00166,3336.8,84.55,7.64,7.52,533.31,74.7,35,1,0,0,1,0,0.44466856739641325,0,1,0,0,0,1,0,0,1,0
TRU-00167,1825.3,92.5,4.85,6.91,429.99,69.9,26,0,0,1,0,0,0.3843947491027807,0,0,0,0,1,0,0,1,0,1
CRU-00168,7796.3,88.35,7.31,7.29,604.95,84.0,64,2,1,1,0,0,0.5462254206885675,0,1,0,0,0,0,0,1,1,0
TRU-00169,3537.8,62.29,5.68,8.47,423.95,68.03,104,1,0,0,0,1,0.3534618379136709,0,0,0,0,1,0,1,0,1,0
CON-00170,5112.2,73.37,2.33,4.19,175.03,62.11,38,0,0,0,0,0,0.29699346201530585,1,0,0,0,0,1,0,0,1,0
TRU-00171,4224.7,86.53,5.7,6.02,540.33,81.64,59,0,0,1,0,0,0.4575919232047647,0,0,0,0,1,0,1,0,0,1
CRU-00172,1366.0,70.55,7.53,6.5,530.94,69.67,76,2,0,0,1,0,0.37997109369208454,0,1,0,0,0,0,1,0,1,0
PUM-00173,3886.6,82.52,4.78,11.61,359.37,88.51,67,0,0,0,0,0,0.43212559501641123,0,0,0,1,0,0,1,0,0,1
CON-00174,6691.9,60.31,2.78,4.95,297.72,72.72,69,0,0,0,0,0,0.32886701600434715,1,0,0,0,0,1,0,0,0,1
CRU-00175,5202.8,97.27,9.09,8.45,631.97,99.28,38,2,1,1,1,0,0.5937660460242584,0,1,0,0,0,0,0,1,1,0
PUM-00176,7603.4,56.67,5.06,6.89,267.31,58.89,25,1,0,0,0,0,0.31384916869484564,0,0,0,1,0,0,1,0,1,0
CRU-00177,8283.9,76.15,7.09,6.42,565.42,62.66,75,1,1,0,0,0,0.46547284299092767,0,1,0,0,0,0,1,0,0,1
CRU-00178,4734.2,89.44,10.42,7.89,390.86,73.89,49,2,0,1,1,0,0.5155504176612429,0,1,0,0,0,0,0,1,0,1
PUM-00179,3455.8,76.12,7.31,8.45,347.55,79.99,36,4,0,0,0,1,0.4138182015777777,0,0,0,1,0,1,0,0,1,0
MIL-00180,3840.0,81.76,9.16,6.59,528.09,90.74,50,0,1,0,1,0,0.5078932156928149,0,0,1,0,0,1,0,0,0,1
PUM-00181,5899.4,59.13,5.84,10.0,373.96,87.06,29,0,0,0,0,0,0.38372978897105026,0,0,0,1,0,0,0,1,0,1
TRU-00182,7129.8,87.52,7.05,6.49,440.01,83.25,5,4,0,1,0,1,0.49301866256745996,0,0,0,0,1,0,0,1,1,0
PUM-00183,2403.5,55.41,4.85,8.4,290.65,81.18,51,1,0,0,0,0,0.3020791889857325,0,0,0,1,0,1,0,0,0,1
TRU-00184,3199.1,73.67,5.66,6.99,396.23,65.88,47,0,0,0,0,0,0.3536332943959045,0,0,0,0,1,0,0,1,1,0
TRU-00185,4390.6,79.49,9.07,5.2,397.97,69.96,14,3,1,0,1,1,0.43606834657491866,0,0,0,0,1,1,0,0,0,1
CRU-00186,2066.4,77.09,8.75,7.62,549.19,82.38,84,0,0,0,1,0,0.46135523012525004,0,1,0,0,0,1,0,0,0,1
